,sector,baseKAP
0,AG_MI_R1,1.32343
1,UTIL_R1,86.60789
2,CONS_R1,6.44545
3,MANU_R1,147.3874
4,COMMER_R1,1413.324
5,EDU_R1,3.195087
6,HEALTH_R1,26.30652
7,ART_ACC_R1,214.9359
8,RELIG_R1,136.7312
9,AG_MI_R2,0.226855
10,UTIL_R2,163.0497
11,CONS_R2,13.16167
12,MANU_R2,1.96456
13,COMMER_R2,4347.564
14,EDU_R2,1077.981
15,HEALTH_R2,267.174
16,ART_ACC_R2,1170.836
17,RELIG_R2,286.8778
18,UTIL_R3,100.4826
19,CONS_R3,104.0633
20,MANU_R3,135.9967
21,COMMER_R3,6324.506
22,EDU_R3,28.54747
23,HEALTH_R3,207.7495
24,ART_ACC_R3,269.0348
25,RELIG_R3,270.366
26,UTIL_R4,17.64995
27,CONS_R4,2.718651
28,MANU_R4,2.387753
29,COMMER_R4,1514.915
30,EDU_R4,15.98366
31,HEALTH_R4,777.8064
32,ART_ACC_R4,165.8875
33,RELIG_R4,45.82616
34,UTIL_R5,40.22423
35,CONS_R5,0.732834
36,MANU_R5,706.6362
37,COMMER_R5,3101.648
38,EDU_R5,36.60337
39,HEALTH_R5,419.9681
40,ART_ACC_R5,501.4994
41,RELIG_R5,86.28852
42,AG_MI_R6,0.671073
43,UTIL_R6,28.3906
44,CONS_R6,5.839408
45,MANU_R6,40.35103
46,COMMER_R6,1224.491
47,EDU_R6,18.75531
48,HEALTH_R6,286.8313
49,ART_ACC_R6,52.39905
50,RELIG_R6,8.885036
51,AG_MI_R7,0.085555
52,UTIL_R7,2.574088
53,CONS_R7,0.615061
54,MANU_R7,3.1915
55,COMMER_R7,492.5688
56,EDU_R7,1.132406
57,HEALTH_R7,111.1063
58,ART_ACC_R7,19.894
59,RELIG_R7,10.45709
60,HS1_R1,1951.061
61,HS2_R1,293.8371
62,HS1_R2,2798.116
63,HS2_R2,1491.191
64,HS1_R3,4080.699
65,HS2_R3,1132.364
66,HS1_R4,3968.163
67,HS2_R4,1036.572
68,HS1_R5,6457.689
69,HS2_R5,1235.736
70,HS1_R6,3945.569
71,HS2_R6,702.0965
72,HS1_R7,2574.569
73,HS2_R7,310.0058
