linknwid,capacity,freeflowsd,Level,fromnode,tonode,len_mile
0,5400,55,US Number Highway,26,25,1.509044135
1,5400,55,Interstate Highway,25,22,2.806049078
2,5400,55,Interstate Highway,22,14,0.318087062
3,3200,55,State Highway,22,24,7.899254419
4,5400,55,Interstate Highway,24,31,2.694621493
5,3200,55,State Highway,31,29,3.335365895
6,5400,55,US Number Highway,29,28,2.004650228
7,5400,55,US Number Highway,28,24,1.078787271
8,5400,55,Interstate Highway,24,25,6.286273041
9,3200,55,State Highway,30,29,2.46422518
10,3200,55,State Highway,30,28,3.18545421
11,5400,55,US Number Highway,29,34,4.187330296
12,3200,55,State Highway,37,30,8.043957754
13,3200,55,State Highway,38,30,7.48543694
14,5400,55,US Number Highway,38,37,3.811625912
15,5400,55,US Number Highway,45,89,5.741536888
16,5400,55,US Number Highway,89,39,1.158661388
17,5400,55,US Number Highway,39,38,3.57160961
18,3200,55,State Highway,88,89,9.086456366
19,3200,55,State Highway,44,88,7.294883649
20,3200,55,State Highway,88,37,3.670331172
21,5400,55,US Number Highway,39,27,10.28052979
22,3200,55,State Highway,27,40,8.44197639
23,5400,55,US Number Highway,27,26,3.522701867
24,5400,55,US Number Highway,26,21,3.646047527
25,3200,55,State Highway,22,21,1.186581618
26,5400,55,US Number Highway,52,71,2.568135978
27,3200,55,State Highway,71,70,2.676859517
28,3200,55,State Highway,70,53,2.156319097
29,5400,55,US Number Highway,71,69,3.949992055
30,3200,55,State Highway,68,69,1.95097695
31,3200,55,State Highway,69,70,3.156265538
32,5400,55,Interstate Highway,66,67,1.784594199
33,5400,55,Interstate Highway,66,68,3.739974156
34,5400,55,Interstate Highway,68,72,1.701958606
35,5400,55,US Number Highway,72,69,2.504764924
36,5400,55,Interstate Highway,43,67,2.453005536
37,5400,55,US Number Highway,65,67,4.351418185
38,5400,55,US Number Highway,17,18,1.163165036
39,5400,55,US Number Highway,18,67,7.36154337
40,3200,55,State Highway,43,18,7.022861569
41,5400,55,US Number Highway,16,32,6.593203558
42,5400,55,Interstate Highway,32,33,0.286562798
43,5400,55,Interstate Highway,33,43,2.206543435
44,3200,55,State Highway,16,14,2.75869424
45,5400,55,Interstate Highway,14,12,0.457075708
46,5400,55,Interstate Highway,12,9,0.962339107
47,5400,55,Interstate Highway,81,47,2.243105466
48,3200,55,State Highway,82,81,2.799041073
49,5400,55,US Number Highway,84,82,0.978949564
50,5400,55,US Number Highway,82,83,0.848948759
51,5400,55,US Number Highway,83,80,2.933256361
52,5400,55,Interstate Highway,80,81,0.966228688
53,5400,55,US Number Highway,46,84,2.502525527
54,3200,55,State Highway,84,88,10.76149605
55,5400,55,US Number Highway,83,37,10.30418267
56,5400,55,US Number Highway,83,36,8.788951912
57,5400,55,US Number Highway,36,34,3.971794789
58,3200,55,State Highway,36,35,2.787679776
59,5400,55,US Number Highway,35,34,2.951867051
60,5400,55,US Number Highway,35,42,1.347520976
61,5400,55,Interstate Highway,42,80,7.930417414
62,5400,55,US Number Highway,80,86,4.267374616
63,3200,55,State Highway,81,85,4.786800685
64,5400,55,US Number Highway,48,85,0.885541278
65,5400,55,US Number Highway,85,86,0.237402572
66,3200,55,State Highway,85,87,0.886689087
67,5400,55,US Number Highway,87,86,0.772571167
68,5400,55,US Number Highway,86,42,8.269110385
69,5400,55,US Number Highway,21,13,0.510367859
70,5400,55,Interstate Highway,13,12,1.339093239
71,5400,55,US Number Highway,13,6,0.996827336
72,5400,55,US Number Highway,6,9,1.501231383
73,5400,55,Interstate Highway,20,13,1.785257791
74,5400,55,Interstate Highway,31,32,1.645972969
75,5400,55,US Number Highway,34,32,5.732320626
76,3200,55,State Highway,35,41,0.793341435
77,5400,55,Interstate Highway,41,42,1.579362198
78,5400,55,Interstate Highway,41,33,7.433061549
79,3200,55,State Highway,41,65,8.737059557
80,5400,55,US Number Highway,49,87,4.110773685
81,5400,55,US Number Highway,50,58,5.522137694
82,5400,55,US Number Highway,58,60,1.148519376
83,3200,55,State Highway,60,87,13.89499315
84,5400,55,Interstate Highway,58,59,2.542642839
85,5400,55,US Number Highway,51,59,1.387601697
86,5400,55,US Number Highway,59,61,2.64209387
87,5400,55,US Number Highway,61,60,2.007402463
88,5400,55,Interstate Highway,59,64,4.907620207
89,3200,55,State Highway,62,64,2.473358479
90,3200,55,State Highway,63,71,12.12810715
91,5400,55,US Number Highway,61,65,9.70050036
92,5400,55,Interstate Highway,64,66,12.66242613
93,5400,55,US Number Highway,16,17,0.876558294
94,3200,55,State Highway,18,15,1.121804026
95,5400,55,US Number Highway,17,15,0.597143856
96,5400,55,US Number Highway,15,11,2.589618402
97,5400,55,US Number Highway,11,9,0.251386145
98,5400,55,US Number Highway,11,10,0.71648538
99,5400,55,US Number Highway,10,23,3.155098886
100,3200,55,State Highway,23,15,2.378919239
101,5400,55,US Number Highway,72,23,3.022066498
102,5400,55,Interstate Highway,9,8,0.595717603
103,5400,55,US Number Highway,8,10,0.258820422
104,5400,55,Interstate Highway,8,5,1.886530788
105,5400,55,US Number Highway,5,6,1.412344967
106,5400,55,US Number Highway,6,19,0.416216369
107,5400,55,US Number Highway,19,3,1.582323579
108,5400,55,Interstate Highway,3,5,0.54092407
109,5400,55,Interstate Highway,3,4,0.303245331
110,5400,55,US Number Highway,4,7,2.102295459
111,5400,55,Interstate Highway,4,1,0.535270709
112,5400,55,Interstate Highway,1,2,0.775775699
113,5400,55,Interstate Highway,73,75,0.489550028
114,5400,55,US Number Highway,73,74,0.663283326
115,5400,55,Interstate Highway,74,75,0.86059707
116,5400,55,Interstate Highway,0,75,2.106224347
117,5400,55,Interstate Highway,75,8,5.015264303
118,5400,55,US Number Highway,10,73,4.883748087
119,5400,55,US Number Highway,3,0,3.791410147
120,5400,55,Interstate Highway,0,1,4.960364484
121,5400,55,US Number Highway,79,78,0.947995117
122,5400,55,US Number Highway,79,57,2.593936949
123,3200,55,State Highway,79,56,1.46256738
124,3200,55,State Highway,78,77,4.332889988
125,5400,55,US Number Highway,77,55,2.18491669
126,5400,55,Interstate Highway,54,76,2.18890121
127,3200,55,State Highway,76,77,1.57820993
128,5400,55,Interstate Highway,76,74,4.022154567
129,5400,55,US Number Highway,74,77,3.596026688
130,5400,55,US Number Highway,0,78,5.571455643
131,5400,55,Interstate Highway,72,73,4.640824253
132,3200,55,State Highway,70,76,4.532591023
133,5400,55,US Number Highway,7,19,2.102295459
